
Cluster method: average
Distance      : correlation

Estimates on edges:

       au    bp se.au se.bp      v      c  pchi
103 0.709 0.478 0.026 0.005 -0.247  0.303 0.333
104 0.688 0.666 0.028 0.005 -0.460  0.030 0.126
105 0.607 0.617 0.030 0.005 -0.284 -0.012 0.579
106 0.635 0.283 0.031 0.005  0.113  0.459 0.348
107 0.995 0.999 0.008 0.001 -2.819 -0.218 0.852
108 0.641 0.379 0.029 0.005 -0.026  0.334 0.866
109 0.710 0.128 0.035 0.003  0.293  0.845 0.536
110 1.000 1.000 0.000 0.000  0.000  0.000 0.000
111 1.000 1.000 0.000 0.000  0.000  0.000 0.000
112 0.763 0.225 0.027 0.004  0.020  0.735 0.739
113 0.985 0.928 0.004 0.003 -1.810  0.348 0.281
114 0.942 0.403 0.009 0.005 -0.663  0.908 0.602
115 1.000 1.000 0.000 0.000  0.000  0.000 0.000
116 0.857 0.762 0.019 0.005 -0.889  0.177 0.305
117 0.880 0.907 0.021 0.003 -1.249 -0.074 0.944
118 0.922 0.155 0.015 0.004 -0.201  1.217 0.226
119 0.854 0.577 0.018 0.005 -0.622  0.429 0.308
120 0.682 0.146 0.035 0.004  0.290  0.764 0.173
121 0.789 0.145 0.029 0.004  0.127  0.930 0.981
122 1.000 1.000 0.000 0.000  0.000  0.000 0.000
123 0.872 0.256 0.018 0.005 -0.240  0.897 0.428
124 0.815 0.305 0.022 0.005 -0.194  0.704 0.795
125 0.964 0.294 0.007 0.005 -0.629  1.171 0.035
126 0.874 0.210 0.019 0.004 -0.170  0.978 0.496
127 0.925 0.760 0.012 0.005 -1.072  0.366 0.919
128 0.865 0.537 0.017 0.005 -0.598  0.507 0.335
129 0.787 0.731 0.024 0.005 -0.707  0.090 0.406
130 0.815 0.408 0.021 0.005 -0.331  0.565 0.339
131 0.941 0.878 0.011 0.004 -1.365  0.200 0.945
132 0.901 0.584 0.014 0.005 -0.748  0.537 0.605
133 0.850 0.151 0.023 0.004 -0.003  1.034 0.419
134 0.979 0.849 0.005 0.004 -1.533  0.502 0.486
135 0.957 0.999 0.086 0.001 -2.460 -0.744 0.923
136 0.721 0.105 0.037 0.003  0.335  0.920 0.137
137 1.000 1.000 0.000 0.000  0.000  0.000 0.000
138 0.954 0.816 0.008 0.004 -1.289  0.391 0.009
139 0.866 0.201 0.020 0.004 -0.136  0.973 0.522
140 0.994 0.997 0.006 0.001 -2.612 -0.099 0.904
141 0.923 0.236 0.013 0.004 -0.355  1.073 0.926
142 0.958 0.559 0.007 0.005 -0.936  0.787 0.187
143 0.816 0.332 0.022 0.005 -0.233  0.667 0.200
144 0.852 0.069 0.030 0.003  0.217  1.263 0.400
145 0.591 0.536 0.030 0.005 -0.160  0.069 0.154
146 0.953 0.230 0.009 0.004 -0.470  1.210 0.711
147 0.724 0.724 0.027 0.005 -0.594 -0.001 0.099
148 0.917 0.675 0.012 0.005 -0.920  0.468 0.001
149 0.845 0.315 0.020 0.005 -0.266  0.748 0.333
150 0.949 0.234 0.010 0.004 -0.453  1.179 0.767
151 0.818 0.450 0.021 0.005 -0.391  0.518 0.849
152 0.891 0.284 0.016 0.005 -0.331  0.903 0.045
153 0.979 0.921 0.005 0.003 -1.723  0.309 0.675
154 0.819 0.481 0.020 0.005 -0.432  0.480 0.247
155 0.907 0.913 0.017 0.003 -1.341 -0.017 0.539
156 0.816 0.074 0.033 0.003  0.272  1.172 0.815
157 0.822 0.263 0.023 0.005 -0.144  0.778 0.497
158 0.763 0.285 0.026 0.005 -0.073  0.643 0.193
159 0.882 0.666 0.016 0.005 -0.808  0.379 0.534
160 0.938 0.810 0.011 0.004 -1.207  0.329 0.248
161 0.998 0.989 0.001 0.001 -2.565  0.289 0.396
162 0.847 0.197 0.022 0.004 -0.086  0.938 0.929
163 0.919 0.895 0.015 0.003 -1.327  0.072 0.180
164 0.755 0.531 0.024 0.005 -0.384  0.307 0.606
165 0.657 0.549 0.028 0.005 -0.264  0.141 0.162
166 0.933 0.214 0.012 0.004 -0.352  1.145 0.850
167 0.833 0.060 0.034 0.002  0.296  1.261 0.706
168 0.814 0.178 0.025 0.004  0.016  0.907 0.639
169 0.935 0.853 0.012 0.004 -1.284  0.232 0.032
170 0.939 0.170 0.012 0.004 -0.298  1.252 0.714
171 0.732 0.137 0.034 0.004  0.239  0.856 0.247
172 0.782 0.100 0.033 0.003  0.252  1.030 0.767
173 0.942 0.774 0.010 0.004 -1.163  0.410 0.655
174 0.797 0.737 0.023 0.005 -0.733  0.099 0.322
175 0.777 0.449 0.023 0.005 -0.317  0.444 0.944
176 0.872 0.833 0.019 0.004 -1.052  0.086 0.515
177 0.784 0.166 0.028 0.004  0.092  0.878 0.019
178 0.748 0.421 0.025 0.005 -0.234  0.433 0.914
179 0.998 1.000 0.014 0.000 -3.218 -0.334 1.000
180 0.945 0.419 0.009 0.005 -0.696  0.900 0.939
181 0.820 0.480 0.020 0.005 -0.433  0.482 0.194
182 0.893 0.502 0.014 0.005 -0.623  0.619 0.594
183 0.777 0.157 0.029 0.004  0.123  0.885 0.134
184 0.990 0.975 0.004 0.002 -2.142  0.183 0.977
185 0.633 0.073 0.045 0.003  0.558  0.898 0.107
186 0.975 0.990 0.011 0.001 -2.147 -0.182 0.488
187 0.929 0.543 0.011 0.005 -0.786  0.679 0.135
188 0.655 0.388 0.029 0.005 -0.057  0.341 0.486
189 0.939 0.603 0.009 0.005 -0.904  0.644 0.225
190 0.817 0.019 0.053 0.001  0.585  1.489 0.010
191 0.981 0.984 0.008 0.001 -2.110 -0.042 0.723
192 0.914 0.301 0.013 0.005 -0.423  0.943 0.359
193 0.800 0.012 0.068 0.001  0.706  1.546 0.539
194 0.909 0.312 0.014 0.005 -0.422  0.912 0.374
195 1.000 1.000 0.000 0.000  0.000  0.000 0.000
196 1.000 1.000 0.000 0.000  0.000  0.000 0.000
197 1.000 1.000 0.000 0.000  0.000  0.000 0.000
198 0.907 0.091 0.020 0.003  0.007  1.330 0.084
199 0.882 0.368 0.016 0.005 -0.422  0.760 0.078
200 0.533 0.006 0.124 0.001  1.210  1.293 0.390
201 0.932 0.692 0.010 0.005 -0.996  0.495 0.476
202 0.695 0.441 0.027 0.005 -0.181  0.329 0.702
203 0.779 0.119 0.031 0.003  0.206  0.974 0.603
204 0.679 0.027 0.062 0.002  0.727  1.193 0.388
205 0.995 0.986 0.003 0.001 -2.380  0.182 0.617
206 0.951 0.546 0.008 0.005 -0.885  0.769 0.809
207 0.855 0.095 0.027 0.003  0.125  1.184 0.407
208 0.857 0.158 0.022 0.004 -0.033  1.035 0.819
209 0.911 0.184 0.016 0.004 -0.223  1.125 0.271
210 0.569 0.341 0.031 0.005  0.118  0.292 0.555
211 0.921 0.864 0.014 0.004 -1.255  0.156 0.162
212 1.000 1.000 0.000 0.000  0.000  0.000 0.000
213 0.766 0.055 0.042 0.002  0.434  1.161 0.092
214 0.965 0.976 0.012 0.002 -1.896 -0.086 0.467
215 0.783 0.605 0.023 0.005 -0.525  0.258 0.177
216 0.996 0.979 0.002 0.002 -2.363  0.330 0.534
217 0.996 0.999 0.007 0.001 -2.921 -0.231 0.608
218 0.749 0.602 0.025 0.005 -0.465  0.207 0.013
219 1.000 1.000 0.000 0.000  0.000  0.000 0.000
220 0.877 0.949 0.025 0.002 -1.401 -0.239 0.921
221 0.890 0.462 0.015 0.005 -0.566  0.661 0.709
222 0.703 0.017 0.073 0.001  0.791  1.323 0.517
223 0.958 0.940 0.010 0.003 -1.644  0.089 0.263
224 0.929 0.796 0.012 0.004 -1.149  0.320 0.231
225 1.000 1.000 0.000 0.000  0.000  0.000 0.000
226 0.700 0.017 0.073 0.001  0.794  1.318 0.303
227 1.000 1.000 0.000 0.000  0.000  0.000 0.000
228 0.768 0.171 0.029 0.004  0.109  0.841 0.176
229 0.744 0.051 0.045 0.002  0.489  1.145 0.081
230 0.716 0.167 0.032 0.004  0.196  0.768 0.585
231 0.892 0.419 0.015 0.005 -0.516  0.721 0.671
232 0.998 0.989 0.001 0.001 -2.614  0.339 0.942
233 1.000 1.000 0.000 0.000  0.000  0.000 0.000
234 0.999 0.998 0.001 0.001 -3.044  0.208 0.211
235 1.000 1.000 0.000 0.000  0.000  0.000 0.000
236 0.853 0.260 0.020 0.005 -0.204  0.847 0.664
237 0.805 0.033 0.045 0.002  0.490  1.349 0.364
238 1.000 1.000 0.000 0.000  0.000  0.000 0.000
239 0.999 0.989 0.001 0.001 -2.654  0.359 0.537
240 1.000 1.000 0.000 0.000  0.000  0.000 0.000
241 0.989 1.000 0.045 0.001 -2.845 -0.552 0.496
242 0.751 0.010 0.079 0.001  0.821  1.498 0.053
243 0.858 0.751 0.018 0.005 -0.874  0.196 0.969
244 0.987 0.974 0.005 0.002 -2.088  0.145 0.548
245 0.937 0.850 0.011 0.004 -1.283  0.246 0.969
246 1.000 1.000 0.000 0.000  0.000  0.000 0.000
247 0.733 0.669 0.026 0.005 -0.529  0.093 0.056
248 0.953 0.809 0.009 0.004 -1.274  0.399 0.932
249 0.607 0.095 0.042 0.003  0.520  0.790 0.303
250 0.994 0.990 0.004 0.001 -2.408  0.077 0.382
251 0.998 0.999 0.003 0.000 -2.917 -0.092 0.773
252 1.000 1.000 0.000 0.000  0.000  0.000 0.000
253 1.000 1.000 0.000 0.000  0.000  0.000 0.000
254 0.775 0.094 0.034 0.003  0.282  1.037 0.282
255 0.878 0.670 0.016 0.005 -0.802  0.362 0.865
256 0.852 0.049 0.033 0.002  0.306  1.353 0.351
257 1.000 1.000 0.000 0.000  0.000  0.000 0.000
258 1.000 1.000 0.000 0.000  0.000  0.000 0.000
259 0.737 0.535 0.025 0.005 -0.361  0.272 0.465
260 0.835 0.773 0.021 0.004 -0.861  0.111 0.476
261 0.521 0.555 0.031 0.005 -0.096 -0.043 0.930
262 0.828 0.999 1.254 0.003 -2.088 -1.141 1.000
263 0.833 0.713 0.020 0.005 -0.763  0.201 0.447
264 0.738 0.692 0.026 0.005 -0.570  0.068 0.487
265 0.850 0.653 0.018 0.005 -0.715  0.322 0.421
266 1.000 1.000 0.005 0.000 -3.623 -0.224 1.000
267 0.862 0.810 0.019 0.004 -0.984  0.106 0.143
268 0.758 0.039 0.047 0.002  0.529  1.229 0.667
269 1.000 1.000 0.000 0.000  0.000  0.000 0.000
270 0.966 0.963 0.010 0.002 -1.804  0.019 0.907
271 0.856 0.558 0.018 0.005 -0.605  0.458 0.901
272 0.984 0.963 0.005 0.002 -1.960  0.175 0.199
273 0.598 0.621 0.030 0.005 -0.278 -0.031 0.469
274 0.828 0.066 0.033 0.003  0.282  1.226 0.174
275 0.901 0.648 0.014 0.005 -0.833  0.454 0.555
276 1.000 1.000 0.000 0.000  0.000  0.000 0.000
277 1.000 1.000 0.000 0.000  0.000  0.000 0.000
278 0.729 0.505 0.026 0.005 -0.312  0.298 0.056
279 0.994 0.970 0.002 0.002 -2.189  0.314 0.151
280 0.895 0.791 0.015 0.004 -1.031  0.222 0.210
281 0.859 0.476 0.017 0.005 -0.509  0.568 0.016
282 1.000 1.000 0.000 0.000  0.000  0.000 0.000
283 1.000 1.000 0.000 0.000  0.000  0.000 0.000
284 0.850 0.347 0.019 0.005 -0.321  0.715 0.013
285 0.998 0.997 0.002 0.001 -2.805  0.060 0.792
286 0.997 0.997 0.004 0.001 -2.750 -0.006 0.800
287 0.665 0.750 0.030 0.005 -0.550 -0.124 0.248
288 1.000 1.000 0.000 0.000  0.000  0.000 0.000
289 1.000 1.000 0.000 0.000  0.000  0.000 0.000
290 0.987 1.000 0.074 0.001 -2.856 -0.622 0.755
291 1.000 1.000 0.000 0.000  0.000  0.000 0.000
292 1.000 1.000 0.000 0.000  0.000  0.000 0.000
293 0.795 0.851 0.026 0.004 -0.932 -0.109 0.799
294 0.842 0.838 0.022 0.004 -0.996  0.008 0.281
295 0.749 0.608 0.025 0.005 -0.473  0.199 0.906
