
Cluster method: average
Distance      : correlation

Estimates on edges:

       au    bp se.au se.bp      v      c  pchi
451 0.894 0.788 0.016 0.004 -1.023  0.224 0.866
452 0.895 0.145 0.019 0.004 -0.098  1.155 0.290
453 0.877 0.694 0.016 0.005 -0.834  0.326 0.417
454 0.819 0.016 0.057 0.001  0.620  1.531 0.162
455 0.922 0.057 0.022 0.002  0.080  1.499 0.619
456 0.984 0.961 0.005 0.002 -1.957  0.191 0.038
457 0.950 0.767 0.009 0.005 -1.186  0.458 0.573
458 1.000 1.000 0.000 0.000  0.000  0.000 0.000
459 0.763 0.133 0.032 0.004  0.197  0.914 0.476
460 0.762 0.783 0.026 0.004 -0.748 -0.034 0.784
461 0.697 0.022 0.065 0.002  0.753  1.268 0.809
462 0.635 0.020 0.071 0.001  0.851  1.195 0.949
463 1.000 1.000 0.000 0.000  0.000  0.000 0.000
464 0.973 0.976 0.010 0.002 -1.960 -0.025 0.783
465 0.618 0.652 0.030 0.005 -0.344 -0.045 0.067
466 0.870 0.723 0.017 0.005 -0.858  0.268 0.954
467 0.634 0.243 0.032 0.004  0.177  0.519 0.125
468 0.649 0.011 0.091 0.001  0.958  1.341 0.074
469 0.766 0.576 0.024 0.005 -0.459  0.268 0.912
470 0.729 0.661 0.026 0.005 -0.512  0.098 0.190
471 0.845 0.026 0.045 0.002  0.466  1.480 0.669
472 0.787 0.379 0.023 0.005 -0.245  0.552 0.938
473 0.961 0.979 0.013 0.002 -1.897 -0.133 0.427
474 0.986 0.975 0.005 0.002 -2.073  0.111 0.980
475 0.829 0.624 0.020 0.005 -0.634  0.318 0.253
476 0.866 0.024 0.043 0.002  0.439  1.547 0.678
477 0.850 0.592 0.018 0.005 -0.634  0.403 0.757
478 0.812 0.019 0.060 0.001  0.596  1.481 0.158
479 0.588 0.493 0.030 0.005 -0.102  0.120 0.850
480 0.862 0.053 0.032 0.002  0.262  1.353 0.337
481 0.943 0.669 0.009 0.005 -1.009  0.572 0.641
482 0.962 0.006 0.034 0.001  0.385  2.157 0.153
483 1.000 1.000 0.000 0.000  0.000  0.000 0.000
484 0.492 0.003 0.174 0.001  1.406  1.387 0.795
485 1.000 1.000 0.000 0.000  0.000  0.000 0.000
486 0.601 0.655 0.030 0.005 -0.328 -0.071 0.038
487 0.899 0.876 0.017 0.004 -1.215  0.062 0.335
488 0.992 0.936 0.002 0.003 -1.968  0.449 0.520
489 0.000 0.000 0.000 0.000  0.000  0.000 0.000
490 1.000 1.000 0.000 0.000  0.000  0.000 0.000
491 0.988 0.998 0.026 0.001 -2.577 -0.336 0.553
492 0.866 0.643 0.017 0.005 -0.737  0.370 0.527
493 0.679 0.087 0.041 0.003  0.448  0.913 0.514
494 0.000 0.000 0.000 0.000  0.000  0.000 0.000
495 1.000 1.000 0.000 0.000  0.000  0.000 0.000
496 0.669 0.203 0.032 0.004  0.198  0.635 0.158
497 0.617 0.229 0.033 0.004  0.223  0.520 0.402
498 0.751 0.686 0.025 0.005 -0.581  0.096 0.481
499 0.989 0.985 0.005 0.001 -2.231  0.071 0.724
500 0.000 0.000 0.000 0.000  0.000  0.000 0.000
501 0.000 0.000 0.000 0.000  0.000  0.000 0.000
502 0.547 0.207 0.035 0.004  0.350  0.468 0.605
503 0.936 0.504 0.010 0.005 -0.765  0.754 0.191
504 0.842 0.062 0.032 0.003  0.267  1.270 0.184
505 0.848 0.490 0.018 0.005 -0.501  0.526 0.455
506 0.996 0.924 0.001 0.003 -2.062  0.627 0.287
507 1.000 1.000 0.000 0.000 -5.260  0.755 1.000
508 0.403 0.016 0.082 0.001  1.194  0.950 0.038
509 1.000 1.000 0.000 0.000  0.000  0.000 0.000
510 0.915 0.611 0.012 0.005 -0.826  0.544 0.763
511 0.924 0.731 0.012 0.005 -1.025  0.408 0.136
512 0.829 0.148 0.026 0.004  0.047  0.997 0.940
513 0.997 0.825 0.001 0.004 -1.826  0.891 0.411
514 0.008 0.004 0.110 0.007  2.523  0.127 1.000
515 1.000 1.000 0.000 0.000  0.000  0.000 0.000
516 0.874 0.406 0.016 0.005 -0.455  0.693 0.354
517 0.491 0.001 0.408 0.000  1.544  1.522 1.000
518 1.000 1.000 0.000 0.000 -3.714  0.111 0.865
519 0.948 0.494 0.008 0.005 -0.807  0.822 0.329
520 1.000 1.000 0.000 0.000  0.000  0.000 0.000
521 0.966 0.493 0.006 0.005 -0.901  0.917 0.054
522 0.839 0.002 0.195 0.001  0.939  1.929 0.708
523 0.730 0.541 0.026 0.005 -0.357  0.255 0.023
524 0.572 0.107 0.041 0.003  0.530  0.711 0.959
525 0.940 0.008 0.041 0.001  0.418  1.971 0.478
526 0.822 0.126 0.027 0.003  0.113  1.035 0.708
527 0.894 0.461 0.014 0.005 -0.575  0.672 0.604
528 0.915 0.492 0.012 0.005 -0.674  0.695 0.771
529 0.914 0.896 0.016 0.003 -1.312  0.051 0.401
530 0.940 0.017 0.030 0.001  0.288  1.843 0.854
531 0.921 0.874 0.014 0.004 -1.279  0.131 0.088
532 0.754 0.419 0.025 0.005 -0.242  0.446 0.592
533 0.976 0.068 0.008 0.003 -0.246  1.733 0.091
534 0.989 0.989 0.006 0.001 -2.287  0.003 0.623
535 1.000 1.000 0.000 0.000  0.000  0.000 0.000
536 0.572 0.099 0.043 0.003  0.552  0.734 0.619
537 0.799 0.075 0.035 0.003  0.301  1.139 0.090
538 0.828 0.134 0.026 0.004  0.080  1.027 0.951
539 0.808 0.801 0.024 0.004 -0.857  0.012 0.609
540 0.703 0.410 0.027 0.005 -0.152  0.379 0.599
541 0.881 0.505 0.016 0.005 -0.595  0.583 0.172
542 0.944 0.097 0.014 0.003 -0.146  1.444 0.153
543 0.863 0.651 0.017 0.005 -0.740  0.353 0.221
544 0.926 0.346 0.012 0.005 -0.525  0.920 0.701
545 0.913 0.135 0.017 0.004 -0.130  1.233 0.683
546 0.935 0.117 0.015 0.003 -0.165  1.352 0.492
547 0.847 0.148 0.024 0.004  0.012  1.033 0.842
548 0.616 0.524 0.029 0.005 -0.178  0.118 0.329
549 0.833 0.401 0.020 0.005 -0.358  0.608 0.847
550 1.000 1.000 0.000 0.000  0.000  0.000 0.000
551 0.933 0.647 0.010 0.005 -0.936  0.559 0.271
552 0.914 0.047 0.025 0.002  0.155  1.519 0.990
553 1.000 1.000 0.000 0.000  0.000  0.000 0.000
554 0.890 0.150 0.019 0.004 -0.095  1.131 0.009
555 1.000 1.000 0.000 0.000  0.000  0.000 0.000
556 0.650 0.569 0.029 0.005 -0.280  0.105 0.152
557 0.736 0.208 0.029 0.004  0.092  0.722 0.632
558 1.000 1.000 0.000 0.000  0.000  0.000 0.000
559 1.000 1.000 0.000 0.000 -4.567  0.341 1.000
560 0.903 0.068 0.023 0.003  0.097  1.396 0.685
561 0.835 0.323 0.020 0.005 -0.258  0.717 0.759
562 0.914 0.039 0.026 0.002  0.198  1.566 0.473
563 0.942 0.043 0.020 0.002  0.071  1.642 0.125
564 0.058 0.992 0.503 0.028 -0.409 -1.981 1.000
565 0.735 0.725 0.027 0.005 -0.612  0.016 0.958
566 0.802 0.091 0.032 0.003  0.242  1.090 0.567
567 0.882 0.060 0.027 0.002  0.185  1.370 0.041
568 1.000 1.000 0.000 0.000  0.000  0.000 0.000
569 0.881 0.022 0.041 0.002  0.418  1.600 0.793
570 0.664 0.316 0.030 0.005  0.027  0.451 0.906
571 0.953 0.071 0.013 0.003 -0.106  1.573 0.549
572 1.000 1.000 0.000 0.000  0.000  0.000 0.000
573 0.925 0.665 0.011 0.005 -0.934  0.507 0.195
574 0.645 0.492 0.029 0.005 -0.176  0.197 0.143
575 0.908 0.046 0.026 0.002  0.177  1.508 0.212
576 0.961 0.952 0.010 0.002 -1.714  0.053 0.376
577 0.732 0.677 0.026 0.005 -0.540  0.080 0.872
578 1.000 1.000 0.000 0.000  0.000  0.000 0.000
579 0.678 0.605 0.028 0.005 -0.365  0.098 0.597
580 0.871 0.018 0.047 0.001  0.478  1.611 0.314
581 0.545 0.376 0.031 0.005  0.101  0.214 0.763
582 0.252 0.994 1.092 0.018 -0.912 -1.579 1.000
583 0.865 0.065 0.029 0.003  0.205  1.308 0.970
584 0.994 0.968 0.002 0.002 -2.172  0.321 0.749
585 1.000 1.000 0.000 0.000  0.000  0.000 0.000
586 0.864 0.129 0.023 0.003  0.017  1.116 0.288
587 1.000 1.000 0.000 0.000  0.000  0.000 0.000
588 1.000 1.000 0.000 0.000  0.000  0.000 0.000
589 0.790 0.347 0.023 0.005 -0.206  0.600 0.355
590 1.000 1.000 0.000 0.000  0.000  0.000 0.000
591 1.000 1.000 0.000 0.000  0.000  0.000 0.000
592 0.774 0.822 0.026 0.004 -0.837 -0.084 0.451
593 0.964 0.790 0.007 0.004 -1.301  0.494 0.824
594 0.543 0.141 0.038 0.004  0.485  0.593 0.857
595 0.999 0.997 0.002 0.001 -2.871  0.113 0.693
596 0.998 1.000 0.009 0.000 -3.150 -0.306 0.706
597 1.000 1.000 0.000 0.000  0.000  0.000 0.000
598 0.672 0.533 0.028 0.005 -0.264  0.182 0.848
599 0.852 0.357 0.019 0.005 -0.339  0.706 0.301
600 1.000 1.000 0.000 0.000  0.000  0.000 0.000
601 0.921 0.642 0.012 0.005 -0.886  0.523 0.302
602 0.805 0.428 0.022 0.005 -0.339  0.522 0.294
603 0.748 0.572 0.025 0.005 -0.424  0.244 0.713
604 0.637 0.607 0.029 0.005 -0.311  0.039 0.076
605 1.000 1.000 0.000 0.000  0.000  0.000 0.000
606 1.000 1.000 0.000 0.000  0.000  0.000 0.000
607 0.806 0.410 0.022 0.005 -0.317  0.546 0.233
608 0.665 0.562 0.028 0.005 -0.291  0.134 0.989
609 0.537 0.549 0.031 0.005 -0.108 -0.015 0.436
610 1.000 1.000 0.000 0.000  0.000  0.000 0.000
611 0.670 0.450 0.028 0.005 -0.157  0.284 0.134
612 0.750 0.678 0.025 0.005 -0.570  0.106 0.742
613 0.665 0.580 0.028 0.005 -0.315  0.112 0.017
614 1.000 1.000 0.000 0.000  0.000  0.000 0.000
615 1.000 1.000 0.000 0.000  0.000  0.000 0.000
616 0.973 0.901 0.006 0.003 -1.605  0.318 0.594
617 0.616 0.464 0.029 0.005 -0.102  0.192 0.190
618 1.000 1.000 0.000 0.000  0.000  0.000 0.000
619 0.826 0.504 0.020 0.005 -0.475  0.464 0.668
620 0.764 0.526 0.024 0.005 -0.392  0.328 0.585
621 0.572 0.274 0.032 0.005  0.209  0.391 0.042
622 0.947 0.866 0.010 0.004 -1.362  0.253 0.803
623 1.000 1.000 0.000 0.000  0.000  0.000 0.000
624 0.636 0.335 0.030 0.005  0.039  0.387 0.997
625 0.717 0.360 0.027 0.005 -0.106  0.466 0.233
626 0.543 0.579 0.031 0.005 -0.153 -0.046 0.463
627 1.000 1.000 0.000 0.000  0.000  0.000 0.000
628 0.759 0.734 0.025 0.005 -0.663  0.039 0.616
629 0.824 0.802 0.022 0.004 -0.889  0.041 0.414
630 1.000 1.000 0.000 0.000  0.000  0.000 0.000
631 0.654 0.999 0.605 0.001 -1.743 -1.347 1.000
632 0.958 0.895 0.009 0.003 -1.490  0.239 0.754
633 0.771 0.538 0.023 0.005 -0.418  0.323 0.929
634 0.673 0.261 0.030 0.005  0.096  0.544 0.548
635 0.868 0.537 0.017 0.005 -0.604  0.510 0.168
636 0.923 0.822 0.013 0.004 -1.174  0.252 0.138
637 0.998 1.000 0.006 0.001 -3.124 -0.172 0.869
638 0.972 0.968 0.009 0.002 -1.888  0.031 0.423
639 0.583 0.601 0.030 0.005 -0.233 -0.023 0.131
640 0.761 0.205 0.028 0.004  0.056  0.767 0.512
641 0.893 0.627 0.014 0.005 -0.784  0.460 0.228
642 0.957 0.907 0.009 0.003 -1.522  0.198 0.513
643 0.824 0.420 0.020 0.005 -0.364  0.565 0.773
644 0.666 0.097 0.040 0.003  0.436  0.864 0.049
645 0.723 0.305 0.028 0.005 -0.041  0.551 0.063
646 0.659 0.187 0.034 0.004  0.239  0.649 0.038
647 0.637 0.383 0.029 0.005 -0.027  0.323 0.555
648 0.660 0.114 0.038 0.003  0.396  0.808 0.039
649 0.919 0.757 0.012 0.005 -1.046  0.350 0.569
650 0.721 0.264 0.028 0.005  0.022  0.608 0.351
651 0.658 0.281 0.030 0.005  0.086  0.493 0.009
652 0.949 0.544 0.008 0.005 -0.873  0.764 0.552
653 0.511 0.159 0.037 0.004  0.486  0.514 0.005
654 0.817 0.142 0.027 0.004  0.083  0.987 0.158
655 0.731 0.189 0.030 0.004  0.133  0.747 0.179
656 0.750 0.146 0.032 0.004  0.190  0.863 0.127
657 0.771 0.136 0.031 0.004  0.177  0.919 0.407
658 0.974 0.301 0.005 0.005 -0.709  1.231 0.363
659 0.963 0.378 0.007 0.005 -0.740  1.050 0.392
660 0.970 0.974 0.010 0.002 -1.912 -0.027 0.228
661 0.909 0.868 0.015 0.004 -1.225  0.108 0.251
662 1.000 1.000 0.000 0.000  0.000  0.000 0.000
