GATC
Arbiter(B2)	9	3	5	4	6	10	9	7	8	13	6	9	7	8	7	12	11	7	5	11	4	4	4	6	5	6	11	8	8	13	15	11	9	9	8	10	12	15	12	7	9	7	13	8	16	11	7	10	9	4	4	7	3	5	6	8	4	8	10	11	7	8	10	7	7	9	6	9	12	9	3	4	4	7
Ares(B2)	9	5	4	5	4	11	9	6	8	9	8	5	7	8	6	14	8	7	3	8	4	7	5	7	4	6	9	8	8	12	14	10	11	8	6	9	6	8	6	9	8	10	12	7	14	10	6	10	9	6	5	7	6	5	5	7	6	7	9	13	6	8	7	7	7	11	6	7	11	10	4	4	4	6
Eaglehorse(B2)	9	6	4	4	5	11	8	5	8	9	7	7	7	7	6	10	8	9	3	10	4	7	4	6	4	6	8	9	8	11	14	10	11	8	6	11	10	15	8	9	8	8	12	7	15	9	6	11	8	5	4	7	3	5	5	8	5	7	7	10	5	7	8	7	8	11	6	7	9	10	3	3	5	6
Hedgerow(B2)	9	4	4	5	5	11	10	6	7	12	9	5	7	7	6	10	10	8	2	10	4	6	4	6	4	6	9	7	7	11	14	9	10	8	7	10	10	14	11	8	8	7	13	8	13	9	5	9	10	4	4	8	3	6	5	7	4	7	10	10	6	7	7	7	8	11	5	8	11	9	4	4	4	7
Kheth(B2)	10	5	4	4	5	11	8	5	8	8	8	6	7	8	6	13	8	7	2	9	4	7	5	7	4	6	9	7	8	13	14	11	12	8	6	9	11	15	9	10	7	9	12	7	15	10	5	9	8	6	5	8	6	5	5	8	4	7	9	12	5	8	8	8	7	11	6	8	9	11	3	3	4	6
Laurie(B2)	9	5	6	3	8	11	11	4	8	9	6	10	7	4	8	12	8	5	6	11	3	5	6	7	5	6	12	8	10	13	13	13	7	8	13	5	2	2	8	15	8	9	11	13	9	9	9	10	7	4	8	5	6	4	12	4	6	9	9	7	4	8	10	7	12	5	8	11	12	6	3	6	5
LizLemon(B2)	9	5	5	4	5	11	10	6	7	11	9	6	8	7	7	12	8	8	4	10	5	6	5	8	4	6	9	7	7	12	14	10	11	8	9	10	9	16	9	9	9	7	13	10	14	10	5	9	10	6	5	9	5	6	5	9	4	7	8	12	7	7	9	8	8	11	5	7	11	9	4	4	5	7
Qyrzula(B2)	9	3	5	4	6	10	10	6	8	13	7	9	7	8	7	12	12	8	5	11	4	4	5	6	5	6	11	9	7	14	14	11	9	8	7	10	3	6	11	7	10	6	14	9	16	10	6	10	9	4	4	8	4	6	6	8	4	9	10	12	7	7	10	7	10	9	5	8	12	9	3	4	4	7
Rosebush(B2)	9	5	5	4	5	11	9	7	7	11	8	5	7	8	6	11	9	8	2	9	4	6	4	7	4	6	9	7	7	11	14	9	11	8	8	10	10	14	10	7	8	7	13	9	14	9	5	9	10	4	4	8	3	6	5	8	3	8	9	10	6	8	8	8	6	11	5	8	10	9	4	4	5	7
TA17A(B2)	8	6	4	5	6	11	8	6	9	8	6	6	8	7	6	10	8	7	1	10	3	7	5	8	4	6	9	7	8	14	12	10	10	8	6	13	10	15	10	12	8	8	11	7	15	9	5	10	8	4	4	8	4	5	5	8	4	9	9	12	6	7	9	6	5	11	8	7	9	11	4	4	4	7
